"module_name","Calendar Type","Credits"
"MDE602 Preparation for Clinical Practice","Graduate Year","15"
"MDE604 Workplace Based Learning 1","Graduate Year","15"
"MDE61004 The Process of Quality Improvement","Graduate Year","30"
"MDE61005 MBChB Phase 3b","Medicine - January Start","20"
"MDE61006 MBChB Phase 4","Academic year","100"
"MDE611 Medical and Health Sciences 1","Graduate Year","20"
"MDE613 Professional Practice 1","Graduate Year","20"
"MDE615 Medical and Health Sciences 2","Graduate Year","20"
"MDE616 Professional Practice 2","Graduate Year","30"
"MDE617 Workplace Based Learning 2","Graduate Year","30"
"MDE618 Development of Clinical Practice","Graduate Year","30"
"MED111 Phase 1 Integrated Examination","Academic year","120"
"MED211 Phase 2a Integrated Examination","Academic year","120"
"MED311 Basic Clinical Competence Examination","Medical Year 4","120"
"MED411 Extended Clinical Competence Examination","Medical Year 5","120"
"MED513 Advanced Clinical Competence","Medical Year 6","60"
"AMR11001 Creating and Managing Projects in Manufacturing Operations","Academic year","15"
"AMR11002 Industry 4.0","Academic year","15"
"AMR11003 Introduction to Professional Engineering Management","Academic year","15"
"AMR11004 Manufacturing Planning and Scheduling Principles","Academic year","15"
"AMR11005 Manufacturing Processes","Academic year","15"
"AMR11006 Sustainability and the Environment in the Manufacturing Industry","Academic year","15"
"AMR11007 Electrical Systems and Fault Finding","Academic year","15"
"AMR11008 Instrumentation and Control Systems","Academic year","15"
"AMR124 Introduction to Design and CADCAM","Academic year","20"
"AMR129 Mathematics and Computing for Engineering","Academic year","20"
"AMR131 Electrical Engineering and Instrumentation","Academic year","20"
"AMR135 Operations Management","Spring Semester","10"
"AMR136 Fundamentals of Science for Engineers","Academic year","20"
"AMR189 Automation, Robotics and Programmable Logic Controllers","Academic year","15"
"AMR190 Engineering Design","Academic year","15"
"AMR191 Engineering Maths","Academic year","15"
"AMR192 Mechanical Principles","Academic year","15"
"AMR193 Electrical and Electronic Principles","Academic year","15"
"AMR194 Engineering Science","Academic year","15"
"AMR195 Fundamentals of Thermodynamics and Heat Engines","Autumn Semester","15"
"AMR196 Managing a professional engineering project","Academic year","15"
"AMR197 Fluid Mechanics","Academic year","15"
